Round,Fencer 1 Name,Fencer 1 Nationality,Fencer 1 Score,Fencer 2 Name,Fencer 2 Nationality,Fencer 2 Score,Referees,video_url
64,JEON Hayoung,KOR,15,MAXWELL Caitlin,GBR,12,Ref ABDICHE Sonia ALG,https://www.youtube.com/watch?v=5SxtpHKj9sI
64,ZHANG Xinyi,CHN,7,RIFKISS Margaux,FRA,15,Ref BEN CHAABENE Iheb TUN,https://www.youtube.com/watch?v=DfuZjI1Caug
64,FU Ying,CHN,15,TAKAHASHI Chirika,JPN,4,Ref KHALED Amr EGY,https://www.youtube.com/watch?v=xkJ705nfncQ
64,HUSEYNOVA Zarifa,AZE,10,CHAMBERLAIN Maia,USA,15,Ref ABDICHE Sonia ALG,https://www.youtube.com/watch?v=2zkEBfH5SSI
64,BATTISTON Michela,ITA,15,LIN Kesi,CHN,14,Ref BEN CHAABENE Iheb TUN,https://www.youtube.com/watch?v=7NbX6_9Ka5M
64,SPICA Manuela,ITA,9,KIM Jeongmi,KOR,15,Ref KHALED Amr EGY,https://www.youtube.com/watch?v=a9PX6jWhvPQ
64,KASPIAROVICH Palina,AZE,15,KIM Dohee,KOR,10,Ref ABDICHE Sonia ALG,https://www.youtube.com/watch?v=FK_4mngyieM
64,POPOVA Evelina,AIN,10,GEORGIADOU Despina,GRE,15,Ref BEN CHAABENE Iheb TUN,https://www.youtube.com/watch?v=BWUZ_g8rVFQ
64,MARTIN-PORTUGUES Lucia,ESP,15,LANDI Michela,ITA,12,Ref BOUKAS Evangelos GRE,https://www.youtube.com/watch?v=Y2z02YCGJ20
64,FUNKE Julika,GER,15,KANEKO Yuina,JPN,13,Ref AMR Ahmed EGY,https://www.youtube.com/watch?v=SRoV6iBLY8Y
64,KESZEI Kira,HUN,14,MOUROUX Mathilde,FRA,15,Ref BOUKAS Evangelos GRE,https://www.youtube.com/watch?v=3evRs00bEz8
64,ROTILI Claudia,ITA,10,CHOI Sebin,KOR,15,Ref AMR Ahmed EGY,https://www.youtube.com/watch?v=l_S31MYwa3M
64,PEREZ CUENCA Celia,ESP,15,CHEN Yun,CHN,10,Ref BOUKAS Evangelos GRE,https://www.youtube.com/watch?v=cYSrqgSW6wo
64,GONTSOVA Daria,UKR,4,QUEROLI Caroline,FRA,15,Ref AMR Ahmed EGY,https://www.youtube.com/watch?v=x-oS6uF7_F4&pp=0gcJCX4JAYcqIYzv
64,TORI Toscane,FRA,15,KIM Eunsun,KOR,7,Ref BOUKAS Evangelos GRE,https://www.youtube.com/watch?v=XrrOCeHlr-c
64,POLLI Maria Clementina,ITA,7,ILIEVA Yoana,BUL,15,Ref AMR Ahmed EGY,https://www.youtube.com/watch?v=D_jGdSCo_Ug
64,GKOUNTOURA Theodora,GRE,15,DI CARLO Alessia,ITA,9,Ref QIAO Min CHN,https://www.youtube.com/watch?v=5JJdLmya-jg
64,CRISCIO Martina,ITA,14,CLAPIER Faustine,FRA,15,Ref GHAZY Tamim EGY,https://www.youtube.com/watch?v=LbbCZoqgnhY
64,PASSARO Eloisa,ITA,7,SULLIVAN Siobhan,USA,15,Ref GHAZY Tamim EGY,https://www.youtube.com/watch?v=u7rPe3Dqpvg
64,PEREZ MAURICE Maria Belen,ARG,11,ERBIL Nisanur,TÜR,15,Ref QIAO Min CHN,https://www.youtube.com/watch?v=RFEmO2MROeE
64,SZUCS Luca,HUN,15,TRANQUILLE Lola,FRA,9,Ref RODRIGUEZ Joslin VEN,https://www.youtube.com/watch?v=0lPmvBJNfMo
64,MORMILE Chiara,ITA,15,PRIKHODKO Tatyana,KAZ,10,Ref GHAZY Tamim EGY,https://www.youtube.com/watch?v=lNsmk-u4J94
64,MATUSZAK Sylwia,POL,15,KATONA Renata,HUN,10,Ref QIAO Min CHN,https://www.youtube.com/watch?v=ThX4pZsy824
64,ARPINO Giulia,ITA,7,NOUTCHA Sarah,FRA,15,Ref RODRIGUEZ Joslin VEN,https://www.youtube.com/watch?v=FRxuM6H_Zr4
64,NAVARRO Araceli,ESP,15,BAKASTOVA Yuliia,UKR,5,Ref ADEL Ali EGY,https://www.youtube.com/watch?v=KjjEt2k5Pz4
64,SIT Summer Fay,HKG,9,LUSINIER Kelly,FRA,15,Ref RUBINI Jacopo ITA,https://www.youtube.com/watch?v=7X2RLtmXXw4
64,FUSETTI Benedetta,ITA,15,IVANOVA Beloslava,BUL,9,Ref FIHUE Lysiane FRA,https://www.youtube.com/watch?v=JD2W8wtZGKo
64,ESPINOSA VELOSO Candela Belen,ARG,9,PUSZTAI Liza,HUN,15,Ref ADEL Ali EGY,N/A
64,DAYIBEKOVA Zaynab,UZB,15,LENKIEWICZ Zuzanna,POL,11,Ref RUBINI Jacopo ITA,https://www.youtube.com/watch?v=FkpRD32Wfrk
64,KIKUCHI Kokona,JPN,15,CIESLAR Zuzanna,POL,13,Ref FIHUE Lysiane FRA,https://www.youtube.com/watch?v=VzuwU7DHygc
64,HERNANDEZ Elena,ESP,6,BATTAI Sugar Katinka,HUN,15,Ref ADEL Ali EGY,https://www.youtube.com/watch?v=KESYyfgyYF8
64,MALGREM Klaudia,POL,5,EMURA Misaki,JPN,15,Ref FIHUE Lysiane FRA,https://www.youtube.com/watch?v=pMV76vsAwok
