Round,Fencer 1 Name,Fencer 1 Nationality,Fencer 1 Score,Fencer 2 Name,Fencer 2 Nationality,Fencer 2 Score,Referees,video_url
64,JEON Hayoung,KOR,8,DI CARLO Alessia,ITA,15,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=ebR2Wj80cWA
64,CORTEYN Jolien,BEL,12,TRANQUILLE Lola,FRA,15,Ref VELLOSO Paulo Juan BRA,https://www.youtube.com/watch?v=TCTNzPcQRWI
64,MOUROUX Mathilde,FRA,14,SPICA Manuela,ITA,15,Ref LORA GRUNWALDT Martin Exequiel ARG,https://www.youtube.com/watch?v=PjksYOSi8VY
64,KASPIAROVICH Palina,AZE,15,OZAKI Seri,JPN,13,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=Gabdl_BXemo&list=PLNiGTm2egXLRS3E5XJ1EUuwhNtNBLgpi5&index=45&pp=iAQB
64,PUSZTAI Liza,HUN,15,WATOR Angelika,POL,12,Ref VELLOSO Paulo Juan BRA,https://www.youtube.com/watch?v=vlP6s6bRH1A&list=PLNiGTm2egXLRS3E5XJ1EUuwhNtNBLgpi5&index=61&pp=iAQB
64,PAN Qimiao,CHN,15,BOTELLO Natalia,MEX,14,Ref LORA GRUNWALDT Martin Exequiel ARG,https://www.youtube.com/watch?v=wYdut4m1NfE
64,MCKEE Brynnley,USA,10,BAKASTOVA Yuliia,UKR,15,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=SbCjHez8AsU
64,PASSARO Eloisa,ITA,9,SZUCS Luca,HUN,15,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=efq-tpI_-Xg
64,BATTISTON Michela,ITA,15,BONDAR Oleksandra,UKR,14,Ref ATTAR COHEN Adriana ARG,https://www.youtube.com/watch?v=2BpEqd3w3kQ
64,FUSETTI Carlotta,ITA,7,KLEIN Louise,FRA,15,Ref PEYKARARA Reza IRI,https://www.youtube.com/watch?v=5hPaleu1vHQ
64,VIALE Mariella,ITA,15,GREENBAUM Atara,USA,10,Ref PEYKARARA Reza IRI,https://www.youtube.com/watch?v=2y4aNf4GwpY
64,ZHANG Xinyi,CHN,8,NAVARRO Araceli,ESP,15,Ref ATTAR COHEN Adriana ARG,https://www.youtube.com/watch?v=hJ7aHPG1mtk
64,BATTAI Sugar Katinka,HUN,15,SEO Jiyeon,KOR,11,Ref PEYKARARA Reza IRI,https://www.youtube.com/watch?v=XloJOReTesU
64,WANG Chenyi,CHN,5,FU Ying,CHN,15,Ref HIROSE Tomoko JPN,https://www.youtube.com/watch?v=wPAmjWso0zw
