Round,Fencer 1 Name,Fencer 1 Nationality,Fencer 1 Score,Fencer 2 Name,Fencer 2 Nationality,Fencer 2 Score,Referees,video_url
64,APITHY Manon,FRA,15,KOVACS Zsanett,HUN,7,Ref TSOUROUTAS Georges GRE,https://www.youtube.com/watch?v=lbGNS4E-4K4
64,HERBON Felice,GER,12,KESZEI Kira,HUN,15,Ref BEREUTER Roman AUT,https://www.youtube.com/watch?v=iL5SHv2CTy0
64,TORI Toscane,FRA,15,PASSARO Eloisa,ITA,11,Ref GHAZY Tamim EGY,https://www.youtube.com/watch?v=_mrlUPaOGtU
64,RIOUX Cyrielle,FRA,15,CHAMBERLAIN Maia,USA,7,Ref CHICHON Vanesa ESP,https://www.youtube.com/watch?v=cvtTI2gIoOU
64,ILIEVA Yoana,BUL,15,SMIRNOVA Anna,_AIN,13,Ref CHICHON Vanesa ESP,https://www.youtube.com/watch?v=VFqIjKRkt-I
64,BATTAI Sugar Katinka,HUN,15,WATOR Angelika,POL,11,Ref BEREUTER Roman AUT,https://www.youtube.com/watch?v=ak30R0oy9uI
64,MATUSZAK Sylwia,POL,15,SANO Yui,JPN,14,Ref GHAZY Tamim EGY,https://www.youtube.com/watch?v=5XMhIlbwgBA
64,JIJIEISHVILI Lika,GEO,9,CHOI Sebin,KOR,15,Ref CHICHON Vanesa ESP,https://www.youtube.com/watch?v=6PDbkoO_DNU
64,JEON Hayoung,KOR,15,MORMILE Chiara,ITA,6,Ref MOELLER Tom GER,https://www.youtube.com/watch?v=RV0Xb2ZCj5U
64,MOUROUX Mathilde,FRA,15,ARPINO Giulia,ITA,8,Ref TILENSHIYEV Yeraly KAZ,https://www.youtube.com/watch?v=Q37ekPcQes4
64,SPIESZ Anna,HUN,15,SULLIVAN Siobhan,USA,7,Ref TILENSHIYEV Yeraly KAZ,https://www.youtube.com/watch?v=TGvz4n-GvOE
64,HUSEYNOVA Zarifa,AZE,2,PUSZTAI Liza,HUN,15,Ref MOELLER Tom GER,https://www.youtube.com/watch?v=-GB5F7YKFIE
64,ERBIL Nisanur,TÜR,15,DAYIBEKOVA Zaynab,UZB,10,Ref MOELLER Tom GER,https://www.youtube.com/watch?v=rAeyrWYGAhQ
64,LENKIEWICZ Zuzanna,POL,10,KIM Jeongmi,KOR,15,Ref TILENSHIYEV Yeraly KAZ,https://www.youtube.com/watch?v=8sELF69Zpos
64,KARIMOVA Sabina,AZE,15,SERGEEVA Milena,_AIN,9,Ref TILENSHIYEV Yeraly KAZ,https://www.youtube.com/watch?v=CLqSSOILaU8
64,SPICA Manuela,ITA,10,MARTIN-PORTUGUES Lucia,ESP,15,Ref ATTAR COHEN Adriana ARG,https://www.youtube.com/watch?v=SKzQd6GsS4M
64,EMURA Misaki,JPN,15,FUNKE Julika,GER,6,Ref COSTANZO Vincenzo ITA,https://www.youtube.com/watch?v=rVnLKNwFMI4
64,VONGSAVADY Malina,FRA,12,VIALE Mariella,ITA,15,Ref CUCU D. Mihai ROU,https://www.youtube.com/watch?v=zrJUaGyeAHY
64,KATONA Renata,HUN,15,TRANQUILLE Lola,FRA,13,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=JbemW2Sd-7M
64,KLEIN Louise,FRA,15,SZUCS Luca,HUN,14,Ref NOWINOWSKI Dariusz POL,https://www.youtube.com/watch?v=Q-RfpXu9wfU
64,GEORGIADOU Despina,GRE,15,MAXWELL Caitlin,GBR,7,Ref JEANNY Aurelie FRA,https://www.youtube.com/watch?v=VEf5wRNUmgA
64,YUN Soyeon,KOR,13,HERNANDEZ Elena,ESP,15,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=_Md7hf2SulU
64,AIME Amalia,FRA,14,LUSINIER Kelly,FRA,15,Ref CUCU D. Mihai ROU,https://www.youtube.com/watch?v=CV48vjKaHks
64,GULIK Anastassiya,KAZ,15,NAVARRO Araceli,ESP,8,Ref COSTANZO Vincenzo ITA,https://www.youtube.com/watch?v=nWqOIZ62WvU
64,GKOUNTOURA Theodora,GRE,15,GETTE Elisabeth,GER,12,Ref PEYKARARA Reza IRI,https://www.youtube.com/watch?v=BVqiqM5Cyac
64,RIFKISS Margaux,FRA,10,CIESLAR Zuzanna,POL,15,Ref AKKARI Amine TUN,https://www.youtube.com/watch?v=7CtiW9B5nlw
64,LANDI Michela,ITA,12,SEO Jiyeon,KOR,15,Ref CANTIN Pascal CAN,https://www.youtube.com/watch?v=LOKqM8hsC-o
64,KIKUCHI Kokona,JPN,15,NOUTCHA Sarah,FRA,14,Ref ORAY Cem TUR,https://www.youtube.com/watch?v=QQ_ZYZfe3dI
64,PEREZ CUENCA Celia,ESP,13,LUPU Andreea,ROU,15,Ref PEYKARARA Reza IRI,https://www.youtube.com/watch?v=y06SMwaxogU
64,BATTISTON Michela,ITA,15,SKARBONKIEWICZ Magda,USA,10,Ref AKKARI Amine TUN,https://www.youtube.com/watch?v=jHM71sB6dfg
64,CIESLAR Julia,POL,15,CHADALAVADA ANANDHA SUNDHARARAMAN Bhavani Devi,IND,13,Ref BERTHIER Anne-Laure FRA,https://www.youtube.com/watch?v=ylr7Vf7chfI
64,DI CARLO Alessia,ITA,14,KHARLAN Olga,UKR,15,Ref ORAY Cem TUR,https://www.youtube.com/watch?v=JKQL3hoPOHo
32,APITHY Manon,FRA,15,KESZEI Kira,HUN,11,Ref ATTAR COHEN Adriana ARG,https://www.youtube.com/watch?v=ELbQ08WgmCU
32,TORI Toscane,FRA,15,RIOUX Cyrielle,FRA,11,Ref COSTANZO Vincenzo ITA,https://www.youtube.com/watch?v=vcC192ur5-E
32,ILIEVA Yoana,BUL,15,BATTAI Sugar Katinka,HUN,13,Ref CUCU D. Mihai ROU,https://www.youtube.com/watch?v=Rdjvdwm9UKI
32,MATUSZAK Sylwia,POL,14,CHOI Sebin,KOR,15,Ref ATTAR COHEN Adriana ARG,https://www.youtube.com/watch?v=6ZSjj9ujhcQ
32,JEON Hayoung,KOR,15,MOUROUX Mathilde,FRA,9,Ref TSOUROUTAS Georges GRE,https://www.youtube.com/watch?v=NZrjj1SSGS0
32,SPIESZ Anna,HUN,15,PUSZTAI Liza,HUN,12,Ref TILENSHIYEV Yeraly KAZ,https://www.youtube.com/watch?v=sQyuOu9MMLE
32,ERBIL Nisanur,TÜR,15,KIM Jeongmi,KOR,10,Ref PEYKARARA Reza IRI,https://www.youtube.com/watch?v=kxmGAJxIGaM
32,KARIMOVA Sabina,AZE,15,MARTIN-PORTUGUES Lucia,ESP,13,Ref OOSTERBOSCH Thibault BEL,https://www.youtube.com/watch?v=GGzL3YtPslc
32,EMURA Misaki,JPN,14,VIALE Mariella,ITA,15,Ref CANTIN Pascal CAN,https://www.youtube.com/watch?v=WcsZ8LoI7oQ
32,KATONA Renata,HUN,15,KLEIN Louise,FRA,10,Ref BEREUTER Roman AUT,https://www.youtube.com/watch?v=ud3BvwiDqtI
32,GEORGIADOU Despina,GRE,15,HERNANDEZ Elena,ESP,7,Ref MOELLER Tom GER,https://www.youtube.com/watch?v=sNF2-ztIOkQ
32,LUSINIER Kelly,FRA,12,GULIK Anastassiya,KAZ,15,Ref ORAY Cem TUR,https://www.youtube.com/watch?v=qx5Zr6LZ0lU
32,GKOUNTOURA Theodora,GRE,15,CIESLAR Zuzanna,POL,7,Ref CHICHON Vanesa ESP,https://www.youtube.com/watch?v=04Q8Jidd940
32,SEO Jiyeon,KOR,15,KIKUCHI Kokona,JPN,9,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=bZT6xBNlF3o
32,LUPU Andreea,ROU,15,BATTISTON Michela,ITA,12,Ref JEANNY Aurelie FRA,https://www.youtube.com/watch?v=ryVUT-vnuGs
32,CIESLAR Julia,POL,15,KHARLAN Olga,UKR,14,Ref CHICHON Vanesa ESP,https://www.youtube.com/watch?v=vLpHHn9pwz4
16,APITHY Manon,FRA,15,TORI Toscane,FRA,8,Ref ATTAR COHEN Adriana ARG,https://www.youtube.com/watch?v=RsPo-SJnMuY
16,ILIEVA Yoana,BUL,15,CHOI Sebin,KOR,10,Ref CANTIN Pascal CAN,https://www.youtube.com/watch?v=2b7l_diJqLQ
16,JEON Hayoung,KOR,15,SPIESZ Anna,HUN,14,Ref COSTANZO Vincenzo ITA,https://www.youtube.com/watch?v=9MGlFVSO6y4
16,ERBIL Nisanur,TÜR,15,KARIMOVA Sabina,AZE,8,Ref MOELLER Tom GER,https://www.youtube.com/watch?v=hVgcovhzZ0Y
16,VIALE Mariella,ITA,15,KATONA Renata,HUN,13,Ref BEREUTER Roman AUT,https://www.youtube.com/watch?v=s0O4T7lrlUU
16,GEORGIADOU Despina,GRE,15,GULIK Anastassiya,KAZ,11,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=G9F_G7lhkow
16,GKOUNTOURA Theodora,GRE,15,SEO Jiyeon,KOR,10,Ref CHICHON Vanesa ESP,https://www.youtube.com/watch?v=k94Tcc768b0
16,LUPU Andreea,ROU,15,CIESLAR Julia,POL,13,Ref PEYKARARA Reza IRI,https://www.youtube.com/watch?v=yaKSCGJ5l0I
8,APITHY Manon,FRA,14,ILIEVA Yoana,BUL,15,Ref PEYKARARA Reza IRI,https://www.youtube.com/watch?v=698J-4xkMDs
8,JEON Hayoung,KOR,15,ERBIL Nisanur,TÜR,13,Ref TILENSHIYEV Yeraly KAZ,https://www.youtube.com/watch?v=8Y-ruqHfDqw
8,VIALE Mariella,ITA,11,GEORGIADOU Despina,GRE,15,Ref CANTIN Pascal CAN,https://www.youtube.com/watch?v=aMqz2E6JM5E
8,GKOUNTOURA Theodora,GRE,15,LUPU Andreea,ROU,14,Ref MOELLER Tom GER,https://www.youtube.com/watch?v=EnipBgHWz-o
4,ILIEVA Yoana,BUL,13,JEON Hayoung,KOR,15,Ref CANTIN Pascal CAN,https://www.youtube.com/watch?v=_ennHUcx00M
4,GEORGIADOU Despina,GRE,13,GKOUNTOURA Theodora,GRE,15,Ref ATTAR COHEN Adriana ARG,https://www.youtube.com/watch?v=Ki5M2AOhJ6Q
2,JEON Hayoung,KOR,15,GKOUNTOURA Theodora,GRE,7,Ref COSTANZO Vincenzo ITA,https://www.youtube.com/watch?v=qMpfGh19okg
