Round,Fencer 1 Name,Fencer 1 Nationality,Fencer 1 Score,Fencer 2 Name,Fencer 2 Nationality,Fencer 2 Score,Referees,video_url
64,BALZER Sara,FRA,15,VENTURA Maria,ESP,6,Ref VELLOSO Paulo Juan BRA,https://www.youtube.com/watch?v=bN1b6o_h42M
64,SEO Jiyeon,KOR,15,RIOUX Cyrielle,FRA,10,Ref VELLOSO Paulo Juan BRA,https://www.youtube.com/watch?v=JQZyI7OAZPE
64,QUEROLI Caroline,FRA,15,ZHUANG Chenyi,CHN,11,Ref STOYCHEV Yulian BUL,https://www.youtube.com/watch?v=b2x8DR6KePg
64,RAO Xueyi,CHN,14,ERBIL Nisanur,TÜR,15,Ref PIECS Adrienn HUN,https://www.youtube.com/watch?v=M9yt9uk6qLg
64,BATTISTON Michela,ITA,15,KOBAYASHI Kanae,JPN,7,Ref HANCIANU Cosmin ROU,N/A
64,SARYBAY Aigerim,KAZ,15,GETTE Elisabeth,GER,10,Ref HANCIANU Cosmin ROU,https://www.youtube.com/watch?v=tjPLd13INZU
64,VIALE Mariella,ITA,15,FUSETTI Carlotta,ITA,8,Ref SASADA Ken-Ichi JPN,https://www.youtube.com/watch?v=P70UUzV2DUo
64,LEUNG Lok Man Laren,HKG,7,GEORGIADOU Despina,GRE,15,Ref SASADA Ken-Ichi JPN,https://www.youtube.com/watch?v=v_kd6lfKlmk
64,ILIEVA Yoana,BUL,15,CHEN Yun,CHN,5,Ref CASARES Ignacio ESP,https://www.youtube.com/watch?v=hMm2vBdJ6rM
64,LUSINIER Kelly,FRA,15,OZAKI Seri,JPN,9,Ref CASARES Ignacio ESP,https://www.youtube.com/watch?v=KP_4eXRBfRU
64,BATTAI Sugar Katinka,HUN,15,KESZEI Kira,HUN,7,Ref SCHIFFERS Alexander GER,https://www.youtube.com/watch?v=9Dyrylpso04
64,PASSARO Eloisa,ITA,11,CHOI Sebin,KOR,15,Ref ACOSTA PEREIRA Vilmarie PUR,https://www.youtube.com/watch?v=oA-d_pOYJFE
64,SZUCS Luca,HUN,15,FUSEA Anastasia,ROU,8,Ref COSTANZO Vincenzo ITA,https://www.youtube.com/watch?v=n4lhRt4O2Tk
64,CIESLAR Zuzanna,POL,9,ZHANG Xinyi,CHN,15,Ref MANDOV Ivan BUL,https://www.youtube.com/watch?v=iqikDme1P2E
64,VONGSAVADY Malina,FRA,15,PAN Qimiao,CHN,11,Ref MANDOV Ivan BUL,https://www.youtube.com/watch?v=xMywUNZPYcU
64,LIU Sophie,USA,6,GKOUNTOURA Theodora,GRE,15,Ref COSTANZO Vincenzo ITA,https://www.youtube.com/watch?v=KZspxmUUS4w
64,JEON Hayoung,KOR,15,WATOR Angelika,POL,13,Ref BEREUTER Roman AUT,https://www.youtube.com/watch?v=e9Wasmygsg4
64,HRAMOVA Olga A.,BUL,15,FU Ying,CHN,12,Ref GUCLUER Ilgin TUR,https://www.youtube.com/watch?v=fzhiIC6jO_I
64,KANEKO Yuina,JPN,15,CRISCIO Martina,ITA,11,Ref GENOV Galin BUL,https://www.youtube.com/watch?v=sRHrnOWGb1A
64,MOUROUX Mathilde,FRA,0,DAYIBEKOVA Zaynab,UZB,0,Ref BEREUTER Roman AUT,N/A
64,PUSZTAI Liza,HUN,14,LEE Jueun,KOR,15,Ref DOUVIS Andreas GRE,https://www.youtube.com/watch?v=NeI3e-Qjx-M
64,LEE Alexandra,USA,15,LIN Kesi,CHN,13,Ref DOUVIS Andreas GRE,https://www.youtube.com/watch?v=547V4whuXLM
64,SPICA Manuela,ITA,8,KATONA Renata,HUN,15,Ref JEANNY Aurelie FRA,https://www.youtube.com/watch?v=DUJTRC1I6os
64,KOMASHCHUK Alina,UKR,14,MARTIN-PORTUGUES Lucia,ESP,15,Ref JEANNY Aurelie FRA,https://www.youtube.com/watch?v=S88JHYMMHa8
64,NOUTCHA Sarah,FRA,15,WEI Jiayi,CHN,5,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=zr6KiHnN0VE
64,DI CARLO Alessia,ITA,15,LANDI Michela,ITA,9,Ref LEE Jungjae KOR,https://www.youtube.com/watch?v=WAdxxl5GnXU
64,MORMILE Chiara,ITA,15,TORI Toscane,FRA,8,Ref LEE Jungjae KOR,https://www.youtube.com/watch?v=B20SOgZFMuI
64,MAVRIKAKI Athinais,GRE,11,NAVARRO Araceli,ESP,15,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=IdW5wPgSCDw
64,PEREZ CUENCA Celia,ESP,15,LU Vivian,USA,6,Ref MCLELLAN Sam GBR,https://www.youtube.com/watch?v=kQvEiKvIOU8
64,LUPU Andreea,ROU,8,SPIESZ Anna,HUN,15,Ref MCLELLAN Sam GBR,https://www.youtube.com/watch?v=DvqrKyQDxNk
64,YE Minhui,CHN,12,HERRERA LARA Luisa Fernanda,UZB,15,Ref VODENOV Valentin BUL,https://www.youtube.com/watch?v=DyiSW8fPxOs
64,HERBON Felice,GER,8,EMURA Misaki,JPN,15,N/A,https://www.youtube.com/watch?v=BZp5SAKiWHk
32,BALZER Sara,FRA,14,SEO Jiyeon,KOR,15,Ref CASARES Ignacio ESP,https://www.youtube.com/watch?v=iNy3t7xDg8I
32,QUEROLI Caroline,FRA,11,ERBIL Nisanur,TÜR,15,Ref HANCIANU Cosmin ROU,https://www.youtube.com/watch?v=N3nIjue8lco
32,BATTISTON Michela,ITA,15,SARYBAY Aigerim,KAZ,9,Ref CASARES Ignacio ESP,https://www.youtube.com/watch?v=l1K1zH3iFjA
32,VIALE Mariella,ITA,13,GEORGIADOU Despina,GRE,15,Ref MCLELLAN Sam GBR,https://www.youtube.com/watch?v=8e1iQTKd9-4
32,ILIEVA Yoana,BUL,15,LUSINIER Kelly,FRA,11,Ref COSTANZO Vincenzo ITA,https://www.youtube.com/watch?v=gSUlHmU6eI8
32,BATTAI Sugar Katinka,HUN,15,CHOI Sebin,KOR,7,Ref COSTANZO Vincenzo ITA,https://www.youtube.com/watch?v=6LGAjLLY6zg
32,SZUCS Luca,HUN,7,ZHANG Xinyi,CHN,15,Ref MANDOV Ivan BUL,https://www.youtube.com/watch?v=EPJCdAoVwQI
32,VONGSAVADY Malina,FRA,15,GKOUNTOURA Theodora,GRE,12,Ref COSTANZO Vincenzo ITA,https://www.youtube.com/watch?v=K26zVM4LdaA
32,JEON Hayoung,KOR,14,HRAMOVA Olga A.,BUL,15,Ref SCHIFFERS Alexander GER,https://www.youtube.com/watch?v=0DizbdOfMMk
32,KANEKO Yuina,JPN,15,MOUROUX Mathilde,FRA,9,Ref BEREUTER Roman AUT,https://www.youtube.com/watch?v=LSo6Ai67MHY
32,LEE Jueun,KOR,11,LEE Alexandra,USA,15,Ref DOUVIS Andreas GRE,https://www.youtube.com/watch?v=x_gfgmgrBBg
32,KATONA Renata,HUN,14,MARTIN-PORTUGUES Lucia,ESP,15,Ref SCHIFFERS Alexander GER,https://www.youtube.com/watch?v=zU2vBVgURSw
32,NOUTCHA Sarah,FRA,11,DI CARLO Alessia,ITA,15,Ref PIECS Adrienn HUN,https://www.youtube.com/watch?v=-mUjrF3Yi3U
32,MORMILE Chiara,ITA,15,NAVARRO Araceli,ESP,10,Ref GUCLUER Ilgin TUR,https://www.youtube.com/watch?v=Bo5afFwBXvI
32,PEREZ CUENCA Celia,ESP,11,SPIESZ Anna,HUN,15,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=C4kZ3c3Zy2s
32,HERRERA LARA Luisa Fernanda,UZB,5,EMURA Misaki,JPN,15,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=InWkxJBzHLY
16,SEO Jiyeon,KOR,13,ERBIL Nisanur,TÜR,15,Ref JEANNY Aurelie FRA,https://www.youtube.com/watch?v=m4GjhCDlnGc
16,BATTISTON Michela,ITA,14,GEORGIADOU Despina,GRE,15,Ref CASARES Ignacio ESP,https://www.youtube.com/watch?v=RsLE5YJhmLk
16,ILIEVA Yoana,BUL,15,BATTAI Sugar Katinka,HUN,8,Ref SCHIFFERS Alexander GER,https://www.youtube.com/watch?v=a5Ivpgyh5Zk
16,ZHANG Xinyi,CHN,15,VONGSAVADY Malina,FRA,10,Ref SCHIFFERS Alexander GER,https://www.youtube.com/watch?v=wQkgLwGM5O4
16,HRAMOVA Olga A.,BUL,13,KANEKO Yuina,JPN,15,Ref COSTANZO Vincenzo ITA,https://www.youtube.com/watch?v=XHwRwIhcUNQ
16,LEE Alexandra,USA,5,MARTIN-PORTUGUES Lucia,ESP,15,Ref HANCIANU Cosmin ROU,https://www.youtube.com/watch?v=iSy796iFckA
16,DI CARLO Alessia,ITA,13,MORMILE Chiara,ITA,15,Ref DOUVIS Andreas GRE,https://www.youtube.com/watch?v=Gft_lEGHl-Y
