Round,Fencer 1 Name,Fencer 1 Nationality,Fencer 1 Score,Fencer 2 Name,Fencer 2 Nationality,Fencer 2 Score,Referees,video_url
32,,GBR,45,,CAN,30,Ref VELLOSO Paulo Juan BRA,NOT STREAMED
32,,ROU,31,,AZE,45,Ref LEE Jungjae KOR,NOT STREAMED
32,,KAZ,40,,UZB,45,Ref STOYCHEV Yulian BUL,NOT STREAMED
16,,FRA,45,,GBR,24,Ref SCHIFFERS Alexander GER,https://www.youtube.com/watch?v=oateyQ1bUQw
16,,CHN,44,,ESP,45,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=2Aew0o-U2mY
16,,ITA,44,,POL,45,Ref BEREUTER Roman AUT,https://www.youtube.com/watch?v=5DXQXFzZ-bQ
16,,HKG,27,,HUN,45,Ref ACOSTA PEREIRA Vilmarie PUR,https://www.youtube.com/watch?v=uaIgfjL3iig
16,,KOR,45,,AZE,33,Ref PIECS Adrienn HUN,https://www.youtube.com/watch?v=p6k_AeSEjN0
16,,GER,45,,USA,44,Ref HANCIANU Cosmin ROU,https://www.youtube.com/watch?v=GpRU_FnSXDM
16,,JPN,45,,BUL,39,Ref COSTANZO Vincenzo ITA,https://www.youtube.com/watch?v=hqI-w79lm6Q
16,,UZB,45,,UKR,35,Ref BEREUTER Roman AUT,https://www.youtube.com/watch?v=qGYwp_LB16Q
8,,FRA,45,,ESP,42,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=brJzwsN49Ak
8,,POL,28,,HUN,45,Ref BEREUTER Roman AUT,https://www.youtube.com/watch?v=SOGcZST_BSQ
8,,KOR,45,,GER,26,Ref CASARES Ignacio ESP,https://www.youtube.com/watch?v=nDTGnrc-i_M
8,,JPN,45,,UZB,43,Ref PIECS Adrienn HUN,https://www.youtube.com/watch?v=VFtktF1PQ-Q
4,,FRA,37,,HUN,45,Ref ALSHAMLAN Bandar KUW,https://www.youtube.com/watch?v=6Irn7aNTlek
4,,KOR,36,,JPN,45,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=B2FAniX_yN0
2,,HUN,44,,JPN,45,Ref MCLELLAN Sam GBR,https://www.youtube.com/watch?v=3e7Gcm3rZ7c
