Round,Fencer 1 Name,Fencer 1 Nationality,Fencer 1 Score,Fencer 2 Name,Fencer 2 Nationality,Fencer 2 Score,Referees,video_url
64,EMURA Misaki,JPN,15,TRANQUILLE Lola,FRA,9,Ref AGUILAR SALAZAR Emiliano Eli MEX,https://www.youtube.com/watch?v=32W7Qe1lx-8&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=115&pp=iAQB
64,KANEKO Yuina,JPN,9,TORI Toscane,FRA,15,Ref COSTANZO Vincenzo ITA,https://www.youtube.com/watch?v=6ZZjuVACLW0&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=112&pp=iAQB
64,KIM Jeongmi,KOR,15,ZHUANG Chenyi,CHN,5,Ref COSTANZO Vincenzo ITA,https://www.youtube.com/watch?v=wNCS2r5VOo4&pp=ygUca2ltIGplb25nbWkgdnMgemh1YW5nIGNoZW55aQ%3D%3D
64,SERGEEVA Milena,AIN,4,DAYIBEKOVA Zaynab,UZB,15,Ref DOANA Andreea ROU,https://www.youtube.com/watch?v=XmQx8wBuy3s&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=103&pp=iAQB
64,CHOI Sebin,KOR,15,MOUROUX Mathilde,FRA,6,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=PbbXyn0ZB78&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=101&pp=iAQB
64,FU Ying,CHN,15,PERDIBAEVA Gulistan,UZB,8,Ref COSTANZO Vincenzo ITA,https://www.youtube.com/watch?v=ZTmWLGcBeFE&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=100&pp=iAQB
64,OZAKI Seri,JPN,15,SON Jeongmin,KOR,13,Ref AGUILAR SALAZAR Emiliano Eli MEX,https://www.youtube.com/watch?v=UzWRdblNz6Y&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=91&pp=iAQB
64,VONGSAVADY Malina,FRA,15,MARTIN-PORTUGUES Lucia,ESP,9,Ref DOANA Andreea ROU,https://www.youtube.com/watch?v=CnnOuSQDUgk&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=88&pp=iAQB
64,GEORGIADOU Despina,GRE,15,SUTO Mitsuki,JPN,5,Ref ZHUKOVA Margarita _AIN,https://www.youtube.com/watch?v=b0lTLjHq0Vs&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=118&pp=iAQB
64,PASSARO Eloisa,ITA,11,KIM Jiyoung,KOR,15,Ref ARSLAN Abdussamet TUR,https://www.youtube.com/watch?v=AZMQMoCha_8&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=116&pp=iAQB
64,CLAPIER Faustine,FRA,15,AU Sin Ying,HKG,12,Ref ZHUKOVA Margarita _AIN,https://www.youtube.com/watch?v=rduNQ5GSQqg&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=110&pp=iAQB
