Round,Fencer 1 Name,Fencer 1 Nationality,Fencer 1 Score,Fencer 2 Name,Fencer 2 Nationality,Fencer 2 Score,Referees,video_url
64,JEON Hayoung,KOR,15,CORTEYN Jolien,BEL,10,Ref GHAZY Tamim EGY,https://www.youtube.com/watch?v=1TP6r7YkzrM&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=116&pp=iAQB
64,FUSETTI Benedetta,ITA,11,SPICA Manuela,ITA,15,Ref MILENCHEV Vasil BUL,N/A
64,CRISCIO Martina,ITA,15,KOBAYASHI Kanae,JPN,14,Ref GHAZY Tamim EGY,https://www.youtube.com/watch?v=a6qO3tY74Qg&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=105&pp=iAQB
64,LIN Kesi,CHN,12,BATTISTON Michela,ITA,15,Ref FIHUE Lysiane FRA,https://www.youtube.com/watch?v=v7o1uo3-Ww4&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=114&pp=iAQB
64,GEORGIADOU Despina,GRE,15,ZHANG Xinyi,CHN,13,Ref ATTAR COHEN Adriana ARG,https://www.youtube.com/watch?v=UbZpDOnHz_U&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=100&pp=iAQB
64,SULLIVAN Siobhan,USA,12,POPOVA Evelina,AIN,15,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=c4BV_Z8R5D0&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=108&pp=iAQB
64,OZAKI Seri,JPN,4,KATONA Renata,HUN,15,Ref GHAZY Tamim EGY,https://www.youtube.com/watch?v=LdyjHGUhkvw&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=92&pp=iAQB
64,KOBZEVA Valeria,AIN,15,NAVARRO Araceli,ESP,10,Ref FIHUE Lysiane FRA,https://www.youtube.com/watch?v=Skrvh-lsh1g&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=102&pp=iAQB
64,ILIEVA Yoana,BUL,15,POSSICK Lola,USA,3,Ref BEN CHAABENE Iheb TUN,https://www.youtube.com/watch?v=0L7Y2Id0jZw&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=113&pp=iAQB
64,RAO Xueyi,CHN,15,KIKUCHI Kokona,JPN,6,Ref ANDREEVA Margarita UZB,https://www.youtube.com/watch?v=si19vGk5o04&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=112&pp=iAQB
